Bird_Species,Timestamp,Start_Offset,Confidence,Temperature,Filename,Battery_Voltage
American Crow,2026-01-08 07:32:00-05:00,45.0,0.6797209978103638,33.62,/Users/patrick/Desktop/creation/birds/recordings/20260108_123200.WAV,3.3
Blue Jay,2026-01-09 07:52:00-05:00,18.0,0.8399100303649902,42.44,/Users/patrick/Desktop/creation/birds/recordings/20260109_075200.WAV,3.2
Carolina Wren,2026-01-09 07:17:00-05:00,12.0,0.8166884183883667,41.0,/Users/patrick/Desktop/creation/birds/recordings/20260109_071700.WAV,3.5
Carolina Wren,2026-01-09 07:17:00-05:00,18.0,0.899397611618042,41.0,/Users/patrick/Desktop/creation/birds/recordings/20260109_071700.WAV,3.5
Carolina Wren,2026-01-09 07:17:00-05:00,24.0,0.8049378991127014,41.0,/Users/patrick/Desktop/creation/birds/recordings/20260109_071700.WAV,3.5
Carolina Wren,2026-01-09 07:17:00-05:00,27.0,0.7079371809959412,41.0,/Users/patrick/Desktop/creation/birds/recordings/20260109_071700.WAV,3.5
Airplane,2026-01-07 16:24:00-05:00,6.0,0.9048555493354797,59.540000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260107_212400.WAV,3.4
Airplane,2026-01-07 16:24:00-05:00,9.0,0.7771351337432861,59.540000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260107_212400.WAV,3.4
Airplane,2026-01-07 16:24:00-05:00,12.0,0.8332432508468628,59.540000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260107_212400.WAV,3.4
White-breasted Nuthatch,2026-01-07 16:24:00-05:00,21.0,0.9886472821235657,59.540000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260107_212400.WAV,3.4
Airplane,2026-01-07 16:24:00-05:00,24.0,0.9087321162223816,59.540000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260107_212400.WAV,3.4
Airplane,2026-01-07 16:24:00-05:00,27.0,0.9746939539909363,59.540000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260107_212400.WAV,3.4
Airplane,2026-01-07 08:08:00-05:00,3.0,0.6844450831413269,36.14,/Users/patrick/Desktop/creation/birds/recordings/20260107_130800.WAV,3.4
Airplane,2026-01-07 08:08:00-05:00,9.0,0.6537418961524963,36.14,/Users/patrick/Desktop/creation/birds/recordings/20260107_130800.WAV,3.4
Airplane,2026-01-07 08:08:00-05:00,15.0,0.7111994028091431,36.14,/Users/patrick/Desktop/creation/birds/recordings/20260107_130800.WAV,3.4
Airplane,2026-01-07 08:08:00-05:00,30.0,0.7502702474594116,36.14,/Users/patrick/Desktop/creation/birds/recordings/20260107_130800.WAV,3.4
American Crow,2026-01-07 08:08:00-05:00,51.0,0.8694592714309692,36.14,/Users/patrick/Desktop/creation/birds/recordings/20260107_130800.WAV,3.4
Airplane,2026-01-09 17:15:00-05:00,39.0,0.7310513257980347,51.08,/Users/patrick/Desktop/creation/birds/recordings/20260109_171500.WAV,3.2
American Crow,2026-01-09 07:50:00-05:00,6.0,0.7280105352401733,41.9,/Users/patrick/Desktop/creation/birds/recordings/20260109_075000.WAV,3.2
Brown Creeper,2026-01-09 07:50:00-05:00,48.0,0.7567272186279297,41.9,/Users/patrick/Desktop/creation/birds/recordings/20260109_075000.WAV,3.2
Blue Jay,2026-01-09 07:50:00-05:00,51.0,0.819916844367981,41.9,/Users/patrick/Desktop/creation/birds/recordings/20260109_075000.WAV,3.2
White-breasted Nuthatch,2026-01-08 16:21:00-05:00,48.0,0.8319230675697327,59.540000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260108_162100.WAV,3.2
Carolina Wren,2026-01-09 07:15:00-05:00,36.0,0.7614709734916687,40.46,/Users/patrick/Desktop/creation/birds/recordings/20260109_071500.WAV,3.9
Carolina Wren,2026-01-09 07:15:00-05:00,42.0,0.7929058074951172,40.46,/Users/patrick/Desktop/creation/birds/recordings/20260109_071500.WAV,3.9
Blue Jay,2026-01-08 08:10:00-05:00,30.0,0.749778687953949,35.06,/Users/patrick/Desktop/creation/birds/recordings/20260108_131000.WAV,3.2
White-breasted Nuthatch,2026-01-07 16:26:00-05:00,36.0,0.8985744714736938,59.540000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260107_212600.WAV,3.4
American Crow,2026-01-09 08:03:00-05:00,12.0,0.869666576385498,42.8,/Users/patrick/Desktop/creation/birds/recordings/20260109_080300.WAV,3.2
American Crow,2026-01-09 08:03:00-05:00,27.0,0.6655345559120178,42.8,/Users/patrick/Desktop/creation/birds/recordings/20260109_080300.WAV,3.2
American Crow,2026-01-09 08:03:00-05:00,30.0,0.8695139288902283,42.8,/Users/patrick/Desktop/creation/birds/recordings/20260109_080300.WAV,3.2
American Crow,2026-01-09 08:03:00-05:00,45.0,0.8863610029220581,42.8,/Users/patrick/Desktop/creation/birds/recordings/20260109_080300.WAV,3.2
Blue Jay,2026-01-09 07:28:00-05:00,15.0,0.7068230509757996,41.9,/Users/patrick/Desktop/creation/birds/recordings/20260109_072800.WAV,3.1
Blue Jay,2026-01-09 07:28:00-05:00,36.0,0.7519465088844299,41.9,/Users/patrick/Desktop/creation/birds/recordings/20260109_072800.WAV,3.1
Blue Jay,2026-01-09 07:28:00-05:00,42.0,0.6671561598777771,41.9,/Users/patrick/Desktop/creation/birds/recordings/20260109_072800.WAV,3.1
Blue Jay,2026-01-09 07:28:00-05:00,48.0,0.7375552654266357,41.9,/Users/patrick/Desktop/creation/birds/recordings/20260109_072800.WAV,3.1
Carolina Wren,2026-01-08 16:59:00-05:00,0.0,0.8062463402748108,56.120000000000005,/Users/patrick/Desktop/creation/birds/recordings/20260108_165900.WAV,3.1
Carolina Wren,2026-01-08 16:59:00-05:00,6.0,0.9154172539710999,56.120000000000005,/Users/patrick/Desktop/creation/birds/recordings/20260108_165900.WAV,3.1
Carolina Wren,2026-01-08 16:59:00-05:00,9.0,0.7843877673149109,56.120000000000005,/Users/patrick/Desktop/creation/birds/recordings/20260108_165900.WAV,3.1
Carolina Wren,2026-01-08 16:59:00-05:00,15.0,0.953300416469574,56.120000000000005,/Users/patrick/Desktop/creation/birds/recordings/20260108_165900.WAV,3.1
Carolina Wren,2026-01-08 16:59:00-05:00,18.0,0.9348941445350647,56.120000000000005,/Users/patrick/Desktop/creation/birds/recordings/20260108_165900.WAV,3.1
Carolina Wren,2026-01-08 16:59:00-05:00,21.0,0.8212911486625671,56.120000000000005,/Users/patrick/Desktop/creation/birds/recordings/20260108_165900.WAV,3.1
Carolina Wren,2026-01-08 16:59:00-05:00,27.0,0.6815506219863892,56.120000000000005,/Users/patrick/Desktop/creation/birds/recordings/20260108_165900.WAV,3.1
Carolina Wren,2026-01-08 16:59:00-05:00,33.0,0.927337110042572,56.120000000000005,/Users/patrick/Desktop/creation/birds/recordings/20260108_165900.WAV,3.1
Dark-eyed Junco,2026-01-08 08:09:00-05:00,15.0,0.6980655789375305,34.16,/Users/patrick/Desktop/creation/birds/recordings/20260108_130900.WAV,3.1
American Crow,2026-01-09 07:49:00-05:00,18.0,0.9633070826530457,41.54,/Users/patrick/Desktop/creation/birds/recordings/20260109_074900.WAV,3.2
Airplane,2026-01-07 08:11:00-05:00,0.0,0.8184378147125244,36.14,/Users/patrick/Desktop/creation/birds/recordings/20260107_131100.WAV,3.4
Airplane,2026-01-07 08:11:00-05:00,9.0,0.7950396537780762,36.14,/Users/patrick/Desktop/creation/birds/recordings/20260107_131100.WAV,3.4
Airplane,2026-01-07 08:11:00-05:00,33.0,0.8496991395950317,36.14,/Users/patrick/Desktop/creation/birds/recordings/20260107_131100.WAV,3.4
Tufted Titmouse,2026-01-07 08:11:00-05:00,45.0,0.766930878162384,36.14,/Users/patrick/Desktop/creation/birds/recordings/20260107_131100.WAV,3.4
Tufted Titmouse,2026-01-07 08:11:00-05:00,51.0,0.6840078234672546,36.14,/Users/patrick/Desktop/creation/birds/recordings/20260107_131100.WAV,3.4
Airplane,2026-01-08 16:05:00-05:00,48.0,0.7014431953430176,59.540000000000006,/Users/patrick/Desktop/creation/birds/recordings/20260108_160500.WAV,3.4
Blue Jay,2026-01-09 07:31:00-05:00,6.0,0.8040717244148254,41.9,/Users/patrick/Desktop/creation/birds/recordings/20260109_073100.WAV,3.3
Blue Jay,2026-01-09 07:31:00-05:00,33.0,0.7048749327659607,41.9,/Users/patrick/Desktop/creation/birds/recordings/20260109_073100.WAV,3.3
Blue Jay,2026-01-09 07:31:00-05:00,36.0,0.9134168028831482,41.9,/Users/patrick/Desktop/creation/birds/recordings/20260109_073100.WAV,3.3
Blue Jay,2026-01-09 07:31:00-05:00,45.0,0.7675487399101257,41.9,/Users/patrick/Desktop/creation/birds/recordings/20260109_073100.WAV,3.3
Airplane,2026-01-07 16:02:00-05:00,0.0,0.9213374257087708,60.44,/Users/patrick/Desktop/creation/birds/recordings/20260107_210200.WAV,3.7
Airplane,2026-01-07 16:02:00-05:00,12.0,0.7346158623695374,60.44,/Users/patrick/Desktop/creation/birds/recordings/20260107_210200.WAV,3.7
Airplane,2026-01-07 16:02:00-05:00,15.0,0.8278397917747498,60.44,/Users/patrick/Desktop/creation/birds/recordings/20260107_210200.WAV,3.7
Airplane,2026-01-07 16:02:00-05:00,27.0,0.7440193295478821,60.44,/Users/patrick/Desktop/creation/birds/recordings/20260107_210200.WAV,3.7
